"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"ZNF33A",17,0,9,1,5,25,1,0,3,4,2,1,2,0,1,86,1,1,2,2,6,1
"ZNF37A",10,1,1,0,6,66,2,1,5,4,0,1,0,0,0,27,1,1,0,1,2,5
"RP11-508N22.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-508N22.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LINC00839",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF33B",12,1,4,0,2,16,1,1,2,1,0,2,0,0,0,34,0,1,1,1,1,0
"AL022344.7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1",11,0,7,0,0,51,1,1,2,4,1,2,1,1,1,76,0,0,4,2,1,4
"RET",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"RP11-351D16.3",1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CSGALNACT2",21,0,10,0,2,53,2,0,2,3,0,1,1,1,0,4,0,1,10,1,1,2
