"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"SASS6",12,3,3,4,0,0,0,0,10,2,0,0,0,1,22,6,0,0,5,3,0,1,1,1,0,1,0,42,4,0,5,5,9,2
"TRMT13",7,9,4,3,3,2,5,5,20,8,1,1,2,1,56,18,12,2,18,24,2,0,2,1,4,2,1,33,0,4,13,16,29,1
"LRRC39",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DBT",13,2,3,8,0,1,0,0,27,2,1,0,0,0,13,9,2,2,3,12,0,0,0,0,2,0,0,11,1,1,8,14,13,1
"RTCA-AS1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RTCA",59,10,10,8,11,2,1,2,49,16,2,0,3,4,49,26,13,3,17,31,1,3,0,0,1,6,0,102,9,10,41,68,35,6
"CDC14A",7,0,11,1,5,0,1,1,1,3,0,0,0,0,7,14,7,0,5,11,0,0,0,0,0,0,0,0,1,1,8,4,16,0
"GPR88",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VCAM1",21,98,2,3,13,2,0,1,198,0,1,0,0,0,3,0,4,0,2,0,0,0,0,0,2,0,0,2,0,9,0,0,40,6
"EXTL2",4,12,0,2,1,0,0,1,58,1,1,0,1,3,6,1,3,4,3,3,0,0,0,0,6,0,0,0,2,2,1,11,13,2
"RP4-549L20.3",4,2,0,0,0,0,0,0,1,1,2,0,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,7,1
"SLC30A7",34,17,11,6,6,0,2,2,39,11,1,0,1,1,23,12,5,2,6,18,1,2,0,1,3,0,1,5,3,3,8,47,37,2
"DPH5",15,10,14,6,2,5,6,3,56,6,0,0,2,4,51,27,18,1,25,45,1,1,0,0,3,4,3,35,1,2,28,35,25,3
"RP11-421L21.2",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0
"RP11-421L21.3",2,4,4,2,0,0,0,0,16,2,0,1,3,0,8,6,3,0,4,10,1,2,0,1,0,0,0,4,0,1,3,12,19,0
"RP4-575N6.4",1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,0,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,32,0
"S1PR1",8,1,2,0,0,0,7,1,3,2,0,0,14,0,7,13,6,0,18,26,0,2,1,0,0,0,0,3,0,0,7,2,342,1
"COL11A1",0,32,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNPC3",12,4,5,4,2,2,2,2,20,7,0,0,4,1,19,12,6,2,10,14,1,2,0,0,2,1,0,11,2,1,13,20,24,6
"AMY2B",3,0,1,0,1,0,0,0,2,0,1,0,0,0,5,2,0,0,3,5,0,0,0,0,0,0,1,0,0,0,2,2,4,0
"PRMT6",8,6,3,2,0,1,0,0,15,0,3,0,1,1,8,6,1,2,2,3,1,1,0,0,1,0,0,19,3,0,9,18,10,2
"NTNG1",0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
