"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"ACBD3",33,145,0,3,1,4,1,0,5,0,0,11,2,6,0,363,15
"RP11-275I14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MIXL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LIN9",0,5,0,0,0,1,1,1,0,0,0,3,0,1,0,40,3
"PARP1",49,115,0,6,2,13,13,7,8,4,0,22,0,16,28,405,30
"C1orf95",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ITPKB",9,31,2,0,0,0,3,2,0,1,0,1,0,1,2,28,27
"ITPKB-AS1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"PSEN2",10,15,0,1,0,3,0,0,0,0,1,2,0,0,1,51,7
"ADCK3",6,27,0,1,0,1,0,1,5,0,0,2,0,0,3,111,5
"CDC42BPA",3,160,0,1,1,1,0,0,7,0,0,17,0,0,0,410,19
"RP11-1B20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTD-2090I13.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"ZNF678",5,14,0,0,0,0,0,0,0,0,0,7,0,0,0,31,2
"SNAP47",7,58,0,1,0,4,7,1,4,0,1,7,0,3,15,95,5
"JMJD4",3,40,0,0,1,1,4,0,2,0,0,4,0,0,1,75,4
"WNT9A",0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"WNT3A",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"ARF1",148,965,2,19,2,36,31,18,43,7,1,97,6,26,40,1735,97
"C1orf35",21,75,1,8,0,7,0,3,6,2,0,13,1,6,4,415,15
"MRPL55",57,410,0,7,2,10,11,2,12,6,0,39,9,20,15,666,39
"GUK1",284,2377,1,27,10,27,52,15,112,17,6,195,28,41,45,3237,253
"GJC2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"IBA57-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
