"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"AKAP8",17,43,0,1,1,5,0,1,0,0,5,1,0,1,1,0,0,9,1,2,2,5,145,20,3
"AKAP8L",12,59,2,1,2,12,0,1,2,0,6,2,1,1,2,0,0,13,0,4,3,10,114,17,7
"WIZ",7,74,0,0,0,3,0,0,2,0,2,2,0,0,1,0,0,8,0,2,0,2,129,16,2
"RASAL3",34,4,0,1,0,1,0,2,2,2,9,1,0,1,4,0,0,0,0,4,4,17,4,9,0
"PGLYRP2",0,2,0,0,0,0,1,2,0,0,12,3,0,1,0,0,0,1,2,0,0,5,0,1,0
"CYP4F22",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"CYP4F8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"CYP4F3",10,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,380,0,0
"CYP4F12",3,10,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,365,4,0
"AC004510.3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"AC004791.2",0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP4F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"CYP4F11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
"CTD-2231E14.4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPM4",646,3988,2,16,4,246,1,20,107,14,63,9,29,10,6,0,14,581,7,128,38,131,3207,738,147
"RAB8A",150,180,3,4,3,25,1,2,7,3,27,3,1,5,6,0,4,22,3,47,8,59,600,29,9
"CTD-2231E14.8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
