"","GSM2859418","GSM2859446","GSM3045787","GSM3045788","GSM3319762","GSM3319763","GSM3319799","GSM3319800","GSM3319836","GSM3319837","GSM3319871","GSM3319872","GSM1414746","GSM1414747","GSM1414748","GSM1414749","GSM1414750","GSM1414751"
"84920",1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1
"5130",1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0
"9468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
"219",0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
"79087",0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0
"239",0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6554",0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0
"26002",1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
"1621",0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"8647",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"247",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"7299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55349",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"6530",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
