"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"155184",NA,NA,NA,NA,NA,NA,NA
"2651",1,0,1,1,1,0,0
"6514",0,0,0,0,0,0,0
"6518",0,1,1,1,0,0,0
"8525",1,1,1,1,1,1,1
"66035",1,1,1,1,0,0,0
"55343",1,1,1,1,0,0,0
"7264",1,1,1,1,1,1,1
"160428",0,0,0,0,0,0,0
"8836",1,0,1,0,1,0,0
"4522",1,1,1,1,1,1,1
"25902",1,0,1,1,1,0,0
"1608",0,0,0,0,0,0,0
"79017",1,1,1,1,1,1,1
"2519",0,1,1,1,1,0,1
"2997",1,0,1,1,1,0,0
"160851",0,0,0,1,0,1,1
"9162",0,0,0,0,0,0,0
"2184",0,0,1,0,1,0,1
"8527",1,1,1,1,1,1,0
"8908",1,1,0,1,0,0,0
"2271",0,1,1,0,0,0,0
"2992",1,1,1,1,1,1,1
"2523",0,1,1,0,0,1,0
"8526",1,1,1,0,0,1,0
"2998",0,0,0,0,0,0,0
"2525",1,1,0,1,1,0,0
"2687",1,1,0,1,0,1,0
"6470",0,0,1,0,1,0,0
"1606",1,0,1,1,1,1,1
"6472",1,1,1,1,1,1,1
"10690",0,0,0,0,0,0,0
"9334",0,1,0,0,1,1,1
"8704",1,1,0,1,1,0,0
"2717",1,1,0,1,1,1,1
"8703",1,1,0,0,0,0,1
"2632",1,1,1,1,1,0,0
"2683",0,0,0,1,0,1,1
"2820",1,0,0,0,0,1,1
"5832",1,1,1,1,1,1,1
"2990",1,1,1,1,1,1,1
"9563",1,0,0,1,1,0,1
"8372",0,1,0,1,1,1,1
"3290",0,0,0,0,0,0,0
"2539",1,1,1,0,0,0,0
"3291",0,0,0,0,0,0,0
"3292",1,1,0,1,1,0,0
"26035",1,0,1,0,0,1,0
"2542",0,1,1,0,0,0,0
"2593",0,0,1,1,1,0,1
"54480",1,1,1,1,1,1,1
"2132",1,1,0,1,0,0,1
"7923",1,1,1,1,1,1,1
"3294",0,0,0,0,0,0,0
"2131",1,1,1,0,0,1,0
"51478",0,0,0,0,0,1,1
"9514",1,0,0,1,0,0,1
"3283",0,0,0,0,0,0,0
"2720",1,1,1,1,1,1,1
"3284",0,0,0,0,0,0,0
"27087",1,1,1,1,1,1,0
"4758",1,1,1,1,1,1,1
"80270",0,1,1,0,1,0,0
"57026",0,0,1,0,1,0,1
"5476",1,1,1,1,1,1,1
"135152",0,0,0,0,0,0,0
"2588",1,1,0,1,1,0,0
"26229",1,1,1,1,1,0,1
"2581",0,1,1,1,0,0,0
"4669",1,0,1,1,0,0,0
"3421",1,1,1,1,1,1,1
"2583",0,1,0,1,0,1,0
"55454",1,1,0,0,1,1,1
"3420",1,1,1,1,1,1,1
"3340",0,1,0,0,1,0,1
"8509",1,1,0,1,1,0,0
"9348",0,0,0,0,0,0,0
"55790",0,0,1,1,1,1,0
"64579",0,0,0,0,0,0,0
"3419",1,0,1,1,0,0,1
"79586",0,1,0,0,0,0,0
"3417",0,1,1,1,0,0,0
"2137",1,1,1,0,1,0,0
"3418",1,1,1,1,1,0,1
"22856",1,1,1,1,1,1,1
"337876",0,0,0,0,0,0,0
"7173",0,0,0,0,0,0,0
"2135",1,0,0,1,1,1,0
"2134",0,0,0,1,1,0,1
"55568",1,1,0,1,1,1,1
"56606",0,1,0,0,0,1,1
"2590",1,1,1,1,1,1,1
"154091",0,0,0,0,0,0,0
"3425",0,1,0,0,0,1,1
"2591",0,0,0,0,0,0,0
"144195",1,1,1,1,1,1,1
"11182",1,1,1,0,0,1,0
"114805",0,0,0,0,0,0,0
"6523",0,1,0,1,1,0,0
"587",0,1,1,1,0,0,0
"8693",1,0,1,0,0,1,1
"63917",1,1,1,1,1,1,1
"50614",0,0,1,1,1,1,0
"8501",1,0,1,1,1,0,0
"2589",1,1,1,1,1,1,1
"178",1,1,1,1,1,1,1
"51809",1,0,1,1,1,1,1
"55586",0,1,0,0,1,0,0
"114134",0,0,0,0,0,0,0
"117248",0,0,0,0,0,0,0
"11227",0,0,0,0,0,0,0
"6526",0,1,0,1,1,1,1
"11226",1,0,1,1,0,0,0
"79695",0,1,1,0,1,0,1
"79623",0,1,0,0,0,0,0
"3422",1,1,1,1,1,1,1
"91734",0,0,0,0,0,0,0
"26290",0,0,0,1,1,0,0
"81031",0,0,0,0,0,0,0
"126792",0,0,1,1,0,0,1
"5837",0,1,0,1,0,0,1
"5836",0,0,0,0,0,0,0
"5834",1,1,1,1,1,1,1
"160728",1,1,0,1,1,0,0
"8801",1,1,1,1,1,1,1
"11285",1,0,1,1,0,0,0
"8802",0,0,0,0,0,1,1
"2729",0,0,0,1,1,1,1
"8972",0,0,0,0,0,0,0
"2618",0,0,0,0,0,1,1
"2730",1,0,1,0,1,1,0
"8803",1,1,1,0,1,0,0
"10723",1,1,1,1,1,1,1
"9990",1,0,0,1,1,0,0
"2746",1,1,1,1,1,1,1
"6560",0,1,0,1,1,0,0
"2747",0,0,0,0,0,1,1
"5019",1,1,1,1,1,1,1
"10841",0,0,0,1,0,1,1
"57468",0,0,0,0,0,0,0
"3795",0,0,0,0,1,1,1
"1629",0,0,1,0,0,1,1
"27165",0,0,0,0,0,0,0
"594",0,1,0,0,0,1,1
"2744",0,1,0,0,1,1,1
"8564",0,0,0,0,0,0,0
"3938",0,0,0,1,0,1,1
"593",1,1,1,1,1,1,1
"26873",1,0,1,1,0,0,0
"79751",0,1,1,1,1,0,0
"83733",0,0,0,0,0,0,0
"4942",1,1,1,1,1,1,1
"2639",0,1,0,1,0,0,0
"53",0,0,1,1,1,0,1
"3931",1,0,1,1,1,0,0
"7372",0,1,1,1,0,1,1
"57084",0,0,0,0,0,0,0
"1811",0,0,0,0,0,0,0
"246213",0,0,0,0,0,0,0
"57030",0,1,0,1,1,1,1
"387775",NA,NA,NA,NA,NA,NA,NA
"10861",1,0,1,1,1,0,0
"1836",0,0,1,0,0,1,1
"124637",0,1,0,1,0,1,0
"51179",0,1,0,0,1,1,0
"54363",0,0,0,0,0,0,0
