"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"GSTCD",0,0,0,0,0,5,0,0,2,1,0,0,1,2,0,0,0,3,0,0,0,0,9,0
"NPNT",0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0,5,1,0,0,0,8,13
"RP11-710F7.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TBCK",0,1,0,0,1,14,0,1,2,1,1,1,2,1,0,0,0,7,0,0,0,0,16,0
"AIMP1",4,2,1,0,12,127,22,16,27,52,12,7,21,21,0,2,5,115,4,2,1,9,77,7
"DKK2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPSS1",1,2,0,2,15,87,3,1,17,9,3,3,2,2,1,0,0,13,1,1,2,1,46,1
"SGMS2",0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,44,0,0,0,0,19,2
"RP11-286E11.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CYP2U1",0,0,0,0,2,28,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,0
"RP11-286E11.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"HADH",0,0,1,0,4,61,5,1,8,3,3,3,4,2,0,0,2,153,0,0,0,0,35,3
"LEF1",0,0,0,2,0,4,1,0,0,24,0,0,0,39,3,0,0,2,0,0,0,4,3,2
"RPL34-AS1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"RPL34",174,705,281,256,364,7169,1937,1137,4678,8606,2465,248,2128,4868,329,214,642,5793,108,283,217,681,3906,397
"OSTC",3,5,4,4,36,424,40,29,40,110,44,19,32,44,1,5,12,159,6,21,10,11,148,5
"COL25A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0
"SEC24B-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
"SEC24B",1,0,0,1,2,17,3,0,3,7,4,2,3,7,0,1,0,17,0,0,0,3,29,1
"CCDC109B",2,9,0,5,2,129,12,12,45,119,28,0,14,65,5,2,5,23,0,4,18,16,86,0
"CASP6",0,0,1,0,1,22,4,2,1,7,2,1,2,4,0,1,0,100,0,0,0,1,21,1
"AC004067.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLA2G12A",0,0,0,0,4,59,7,3,7,10,0,4,1,7,0,1,0,47,0,1,2,3,35,1
"CFI",0,0,0,0,2,21,0,23,0,1,0,0,1,0,0,0,0,4,0,0,0,0,131,0
