"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL22+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"SLC2A11",2,0,1,0,0,1,10,0,0,0,0,2,6,2,0,4,2,0,0,1,12,0,6,1,1,3,0
"MIF",20,10,13,2,2,14,161,25,2,8,17,18,181,75,11,15,24,4,6,13,273,6,19,1,15,68,7
"MIF-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"AP000350.5",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GSTT2B",0,0,0,0,0,1,18,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,1
"DDTL",0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"KB-226F1.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"DDT",23,11,43,2,1,14,137,19,1,4,16,32,118,45,10,21,13,5,5,12,544,5,12,3,7,67,5
"CABIN1",3,2,2,0,1,0,26,5,0,0,1,2,14,6,3,2,4,0,0,2,11,3,2,0,0,10,3
"SUSD2",0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0
"GGT5",0,0,0,0,0,0,214,0,0,3,1,0,2,1,6,1,0,0,0,0,2,13,0,1,0,17,0
"SPECC1L",0,0,1,0,0,2,5,1,0,0,0,0,5,3,1,0,0,0,0,1,6,2,1,0,0,2,0
"ADORA2A-AS1",0,0,0,0,0,0,3,0,0,0,1,1,4,0,1,4,0,0,0,0,1,0,0,0,0,4,0
"UPB1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
"GUCD1",2,0,2,1,0,2,23,0,1,1,3,9,13,11,1,9,4,0,1,2,50,3,0,2,1,23,2
"SNRPD3",15,6,18,2,1,16,142,12,3,6,9,17,79,42,7,15,9,1,1,12,176,14,4,0,8,62,0
