"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MKRN2OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MKRN2",1,2,1,0,0,1,0,1,1,4,3,1,12,3,0,3,1,0,1,4,0,1,0,2,6,29,0
"RAF1",11,10,1,0,9,8,1,12,6,8,3,4,38,12,4,9,4,2,4,10,8,1,2,0,20,56,3
"RPL32",949,708,193,242,347,237,142,1091,590,665,750,1023,4179,764,397,1527,920,292,370,1173,345,145,101,124,2004,15829,625
"IQSEC1",6,4,1,0,2,1,0,2,0,0,0,2,8,3,2,1,1,0,2,4,2,0,0,0,2,7,1
"NUP210",2,1,0,1,3,3,0,3,3,2,9,5,18,3,0,5,7,1,1,8,0,0,0,5,12,11,0
"HDAC11-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"HDAC11",3,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,0,0,0,1,1,32,0
"FBLN2",0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
"CHCHD4",1,1,2,0,1,1,0,1,1,0,1,0,8,1,0,1,0,0,1,3,0,0,0,0,1,29,2
"TMEM43",5,7,4,0,5,1,0,3,2,6,6,0,18,4,0,5,2,3,5,1,2,0,0,0,9,55,9
"AC093495.4",0,0,1,0,0,0,0,2,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"XPC",2,2,0,0,4,2,1,6,5,4,5,1,25,8,0,4,3,2,1,2,0,0,0,1,14,25,4
