"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"TMEM109",14,7,0,3,7,0,3,35,12,0,4,1,2,1,15,909
"RP11-881M11.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TMEM132A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
"SLC15A3",39,0,0,0,0,0,1,0,0,0,0,0,0,4,0,69
"CD6",1,22,5,2,27,2,0,213,34,0,15,0,3,0,35,47
"CD5",0,4,4,1,17,2,0,120,15,0,3,0,1,0,35,87
"VPS37C",7,0,0,0,0,0,1,3,0,0,0,1,0,1,0,366
"PGA5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VWCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"DDB1",28,2,1,3,6,1,2,19,4,2,1,4,3,0,5,1412
"TKFC",5,0,0,0,1,0,0,4,0,0,0,0,0,0,3,434
"CYB561A3",26,5,1,0,1,3,8,19,4,2,1,3,0,1,5,572
"TMEM138",17,2,1,2,3,1,5,23,5,1,2,4,1,0,10,386
"TMEM216",1,2,0,1,0,1,1,8,2,2,0,1,0,0,7,550
"CPSF7",8,1,1,0,3,0,1,7,3,2,1,1,0,1,4,462
"RP11-286N22.8",1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,28
"SDHAF2",9,7,0,1,4,0,1,67,12,2,5,3,0,4,12,730
"PPP1R32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"LRRC10B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"SYT7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511
"RP11-794G24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"DAGLA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,104
"MYRF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57
"TMEM258",60,19,2,5,22,4,11,145,30,4,15,20,2,2,52,8796
"FEN1",3,0,0,1,1,1,1,14,2,1,1,0,1,0,2,448
"FADS2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
"FADS1",9,1,0,0,0,0,0,1,0,0,0,1,0,1,0,51
"FADS3",1,1,1,0,0,0,5,6,1,3,0,1,0,0,0,463
"RAB3IL1",10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22
"BEST1",13,1,1,0,1,0,1,6,1,0,1,1,0,3,0,345
"FTH1",8774,486,127,100,771,114,513,7201,943,308,1270,474,114,2947,2211,202838
"RP11-810P12.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"INCENP",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,53
"SCGB2A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"RP11-703H8.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ASRGL1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431
"AHNAK",34,10,2,1,1,0,6,32,7,0,11,0,1,7,23,2650
"RP11-864I4.4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"EEF1G",1,0,0,1,1,0,2,7,1,1,2,0,0,1,2,307
"RP11-864I4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TUT1",2,0,0,0,0,1,0,2,1,0,0,0,0,0,2,126
"MTA2",1,1,0,1,0,0,0,3,1,0,1,1,1,0,1,168
"EML3",6,3,0,0,4,1,1,11,3,1,1,3,0,0,7,430
"ROM1",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,82
"B3GAT3",14,7,1,2,7,1,3,30,5,1,0,7,1,3,11,843
"GANAB",24,2,0,3,1,2,6,17,6,3,2,4,1,0,6,1448
"INTS5",0,0,0,1,0,0,4,7,4,1,0,1,0,1,5,120
"C11orf98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"LBHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"METTL12",4,1,0,0,0,0,1,20,3,3,4,1,1,0,6,669
"UQCC3",9,2,1,0,1,0,1,12,2,1,3,2,2,0,9,2251
"UBXN1",59,18,4,4,24,3,18,122,37,9,22,15,2,7,59,4671
"LRRN4CL",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"BSCL2",2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,119
"GNG3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"HNRNPUL2",17,1,2,3,2,2,1,15,5,2,3,1,0,1,6,1079
"TTC9C",10,0,0,0,1,0,2,5,0,0,0,0,0,0,3,357
