"","Anti-inflammatory macro/mono","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"AC005152.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01152",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SOX9",6,0,3,1,2,0,1,1,1,0,0,2,4,11303,0
"LINC00511",1,0,0,0,0,0,1,0,0,0,0,1,0,625,0
"RP11-57A1.1",0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
"CTD-3010D24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"SLC39A11",10,0,1,0,0,0,1,2,1,0,0,0,0,570,2
"SSTR2",1,0,0,0,0,0,0,0,0,0,0,1,0,12,0
"COG1",1,0,2,0,1,0,0,0,0,0,0,0,1,248,0
"RP11-143K11.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM104A",5,0,4,0,10,0,15,4,0,0,2,1,17,886,1
"C17orf80",0,0,0,0,0,0,1,0,0,0,0,0,0,105,0
"CPSF4L",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDC42EP4",0,0,0,0,1,0,1,1,0,0,1,0,0,1479,3
"SDK2",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RPL38",246,30,77,29,161,77,384,73,148,10,29,105,174,57905,81
"MGC16275",0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
"TTYH2",1,0,0,0,0,0,1,0,0,0,0,2,0,2,0
"KIF19",0,0,0,0,0,0,0,0,1,0,0,0,0,33,0
"BTBD17",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"GPRC5C",2,0,0,0,0,0,0,0,0,0,0,1,0,784,0
"CD300A",42,0,0,0,0,1,1,0,0,3,1,6,0,3,0
"CD300LB",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD300C",11,0,0,0,0,0,0,0,0,0,0,3,0,6,0
"C17orf77",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CTD-2006K23.1",1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"CD300E",8,0,0,0,0,0,0,0,0,0,0,32,0,7,0
"RAB37",0,1,2,0,2,2,2,0,0,0,0,0,4,11,0
"CD300LF",14,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"SLC9A3R1",8,1,6,3,13,0,24,1,5,0,0,1,11,2800,0
"NAT9",4,0,3,1,1,0,3,0,2,0,0,0,3,694,3
"TMEM104",1,0,0,0,0,0,0,0,0,0,0,0,0,94,1
"GRIN2C",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"FDXR",6,0,1,0,5,0,4,3,1,0,0,0,2,989,0
"FADS6",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"OTOP2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HID1",0,0,0,0,0,0,0,0,0,0,0,0,0,303,0
"CDR2L",0,0,0,0,0,0,0,0,0,0,0,0,0,95,2
"ICT1",8,0,4,0,1,0,2,0,0,2,0,1,3,1875,0
"KCTD2",1,0,0,0,0,0,0,0,0,0,1,0,1,122,1
"ATP5H",75,5,21,9,30,2,54,7,16,0,1,15,29,10135,11
"SLC16A5",1,0,0,0,0,0,0,0,0,0,0,1,0,255,0
"ARMC7",1,0,1,0,0,0,1,0,0,0,0,1,4,301,0
"NT5C",20,1,8,2,10,3,19,3,6,1,1,3,15,3293,1
"HN1",75,2,28,10,31,4,58,9,13,1,1,11,46,20396,11
"SUMO2",138,8,84,15,84,25,169,49,39,3,8,33,128,14714,33
"NUP85",3,0,0,0,1,0,2,1,0,0,0,0,2,402,0
"GGA3",3,0,1,1,2,0,3,2,1,1,1,1,0,216,3
"MRPS7",16,1,2,4,10,3,22,6,4,0,0,10,11,3230,6
"MIF4GD",8,0,8,1,11,1,23,1,3,1,0,0,9,926,5
