"","GSM1209577","GSM1209578","GSM1209579","GSM1209580","GSM2257343","GSM2257344","GSM2460435","GSM2460439","GSM2460443","GSM2460447","GSM2460451","GSM2460455","GSM2607426","GSM2607427","GSM2607428","GSM2607429","GSM2607430","GSM2607431"
"6547",1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
"6546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166785",0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92579",1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
"10423",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8760",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56994",0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1
"10390",0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0
"64781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6565",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"9023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1103",1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
"162466",1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1
"9468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5130",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
"6579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6554",1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0
"55349",1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
"1120",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1119",0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1
"60482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6582",1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"6584",0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0
"6820",0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1
