"","GSM662182","GSM662183","GSM662190","GSM662212","GSM662213","GSM662214","GSM662215","GSM662216","GSM662217","GSM662218","GSM2086285","GSM2086286","GSM2086287","GSM2086288","GSM2086289","GSM2086290"
"5224",0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
"60482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6582",0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0
"115286",1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
"5223",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6584",0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0
"669",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"271",0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1
"6820",1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0
"4597",0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0
"51071",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10948",1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0
"19",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"272",0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1
"1806",1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7083",0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1118",1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0
"7084",0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1
"54682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27159",0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
"3704",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"279",0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1
"277",0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1
"1854",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10682",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9058",1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
"276",0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1
"278",0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1
"1892",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"549",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
