"","GSM565276","GSM565277","GSM565278","GSM565279","GSM565280","GSM814482","GSM814483","GSM814484","GSM814485","GSM1070753","GSM1070754","GSM1070757","GSM1070758","GSM1070761","GSM1070762","GSM1215107","GSM1215109","GSM1215111","GSM1215113","GSM2080663","GSM2080664"
"6513",0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1
"55089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1718",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"2538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57818",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"92579",0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1
"1373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"11254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84706",0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1
"1717",0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1
"2875",0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1
"8560",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10423",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"123099",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1
"92745",1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
