"","GSM2859419","GSM2859447","GSM2859476","GSM2859511","GSM3319770","GSM3319879","GSM3319880","GSM3319893","GSM3319899","GSM2302911","GSM2302912","GSM2302915","GSM2302918","GSM2302919","GSM2302922","GSM2302923","GSM2616452","GSM2616676","GSM2616686","GSM2616689","GSM2616692"
"245972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957",1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0
"956",1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"955",1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1
"953",1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
"954",1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"377841",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"291",1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4126",0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0
"8706",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"10317",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"84002",0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1
"3141",1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
"140679",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"8424",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"23743",0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
"10599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1244",1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1
"8714",0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"28234",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"645",0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"644",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
