"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs"
"USP54",1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1,0,0,0,1
"RP11-464F9.20",0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,21,3,0,4,0,0
"SYNPO2L",0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0
"RP11-574K11.29",0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
"SEC24C",1,1,3,0,1,0,4,27,0,0,0,0,0,1,8,2,0,0,2,0,0,0,283,13,0,1,0,2
"FUT11",1,1,3,0,0,0,1,39,0,0,0,0,0,1,6,1,0,0,1,0,0,0,24,2,0,1,1,5
"CHCHD1",31,6,29,0,0,5,5,98,8,0,1,0,5,8,56,15,1,0,10,1,1,2,2048,61,0,19,6,20
"ZSWIM8",1,0,3,0,0,0,0,25,0,0,0,1,0,1,3,0,0,0,0,0,0,2,130,3,0,1,0,2
"NDST2",1,0,2,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,28,4,0,1,0,0
"CAMK2G",3,2,7,0,2,2,6,29,1,2,0,0,1,2,23,3,1,0,4,0,1,2,395,2,0,2,0,12
"PLAU",16,0,18,0,0,0,1,463,0,0,0,0,4,0,1,0,4,0,1,0,0,0,6,4,0,0,0,53
"VCL",0,0,4,0,0,1,9,55,0,0,0,0,0,0,0,0,2,0,1,0,0,0,150,2,0,0,0,4
"AP3M1",3,3,4,0,0,1,0,33,1,0,0,0,0,3,8,1,1,1,4,0,0,3,120,8,1,2,1,1
"ADK",16,3,19,0,0,1,26,57,0,0,0,0,4,2,27,4,2,0,4,0,0,4,686,27,1,8,1,10
