"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NKT cells","Normal Epithelial cells","Regulatory CD4 Tcells","Vascular ECs"
"FAM86A",3,0,2,0,24,0,0,0,1,1,0,0,0,34,0,5
"FLI1-AS1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
"FLJ27365",2,0,0,3,21,0,0,0,1,0,1,1,0,15,0,9
"FRG1B",5,1,4,1,56,1,0,1,12,1,2,1,0,27,2,21
"FZD10-AS1",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"GAREM",1,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0
"GAS5",39,13,36,8,832,16,11,25,100,13,6,38,3,1600,12,156
"GCN1L1",1,1,0,0,12,0,0,0,0,0,0,0,0,23,0,1
"GLTPD1",3,0,0,3,16,0,0,0,4,0,1,0,1,39,0,7
"GNG5P2",3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3
"GPR114",1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
"GPR116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"GPR124",0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,3
"GPR125",0,0,2,0,8,0,0,0,0,0,0,0,0,46,0,0
"GPR126",5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,20
"GPR56",0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,6
"GS1-251I9.4",6,0,6,0,94,0,2,0,6,2,3,1,1,49,2,15
"GS1-358P8.4",2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
"GUSBP11",2,0,0,0,1,0,0,0,0,0,1,1,0,10,0,0
"HCP5",5,0,3,1,3,1,2,0,3,4,0,2,0,24,0,14
"HDGFRP2",7,0,0,0,12,0,0,0,0,0,0,2,0,32,0,1
"HDGFRP3",0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,6
"HDHD1",2,0,5,0,17,0,0,0,0,0,0,0,0,38,0,4
"HEATR2",4,0,0,0,13,0,0,0,2,0,0,0,0,13,0,1
"HIAT1",4,1,3,0,36,1,1,0,7,3,3,1,0,12,1,15
"HIATL1",2,1,5,0,16,0,0,0,7,0,0,0,5,11,0,3
"HLA-F-AS1",0,0,0,0,29,0,0,1,0,0,0,0,0,0,0,1
"HNF1A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"HOXA-AS4",0,0,0,0,14,0,0,0,0,0,1,0,0,16,0,2
"HOXD-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
"IGHV1-8",1,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0
"IGHV3-9",4,0,2,0,6,0,0,0,0,0,1,0,1,0,0,2
"IGJ",203,27,115,39,1111,15,13,44,145,104,44,49,13,59,11,252
"IL8",102,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1
"ITFG3",3,2,0,1,24,0,0,1,3,0,1,0,0,62,0,9
"JHDM1D",6,0,5,0,5,0,0,0,1,0,0,0,0,35,0,5
"KB-1507C5.2",2,0,1,0,8,0,0,0,0,0,0,0,0,7,0,0
"KB-431C1.4",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"KIAA0020",3,0,0,0,18,0,2,0,8,2,0,0,0,44,0,3
"KIAA0195",2,0,0,2,8,0,0,0,0,0,0,1,0,20,0,3
"KIAA0226",1,0,1,0,8,0,0,0,3,0,0,1,0,9,0,1
"KIAA0247",2,1,3,0,6,0,0,0,1,1,0,0,0,8,0,4
"KIAA0947",1,0,0,0,9,0,0,0,2,0,1,0,0,7,0,1
"KIAA1009",0,0,0,1,24,0,0,0,0,0,0,0,0,6,0,0
