"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL22+ CD4 Tcells","LTi cells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Vascular ECs"
"COL8A1",1,0,0,0,0,0,46,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,1,0,0,0
"CMSS1",170,4,19,1,3,1,8,73,1,3,1,1,1,126,57,28,13,47,145,4,5,3,31,1,598,6,51,19,9,18
"FILIP1L",109,3,15,0,0,1,2,513,0,0,0,0,0,12,6,10,58,2,20,0,0,0,6,6,96,6,4,0,2,5
"TBC1D23",28,2,3,1,2,0,1,29,0,4,0,0,0,20,14,5,4,11,33,1,1,1,19,0,154,1,11,0,3,4
"NIT2",116,4,18,1,2,1,5,103,0,2,1,0,0,75,36,19,9,15,68,3,5,5,85,0,308,3,28,5,8,8
"TOMM70A",71,0,9,0,0,0,0,40,0,1,1,0,0,27,16,5,6,15,45,1,5,1,43,0,166,0,16,5,5,8
"LNP1",2,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,1,2,2,0,0,1,0,0,55,0,1,1,0,0
"TMEM45A",28,1,2,0,0,0,6,132,0,0,0,0,0,10,9,3,8,3,14,1,2,0,0,2,499,1,0,1,3,8
"TFG",174,8,32,0,2,0,10,196,2,3,0,3,2,82,44,26,16,26,123,6,4,3,159,7,984,12,38,7,10,27
"ABI3BP",4,0,0,0,0,0,8,81,0,0,0,0,0,2,3,2,6,1,5,0,0,0,0,0,12,0,0,0,0,0
"IMPG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"SENP7",24,5,2,0,0,0,1,27,0,0,0,1,0,29,17,3,1,12,64,6,1,0,4,1,83,2,4,0,6,3
"TRMT10C",85,13,8,0,4,5,4,97,0,6,1,2,4,136,75,28,16,44,252,4,6,4,55,0,324,3,64,6,20,10
"PCNP",316,37,55,3,3,7,24,355,2,11,1,2,9,386,208,83,52,113,557,21,13,7,198,6,1188,24,265,33,43,47
"ZBTB11",31,3,5,0,0,1,1,21,0,1,0,1,0,20,14,10,4,7,37,3,1,0,7,0,80,3,12,1,4,5
"ZBTB11-AS1",9,0,2,0,0,1,1,9,0,1,0,0,0,14,7,3,0,7,15,0,0,0,4,0,46,1,5,0,4,0
"RPL24",4606,449,1010,34,72,101,113,3913,37,260,46,47,53,8349,3478,1302,253,2581,14039,497,144,148,2722,37,30228,297,3112,325,982,510
"CEP97",6,0,2,0,0,2,1,10,0,0,0,0,0,7,4,5,0,1,13,0,0,0,6,0,54,0,10,0,3,2
"NXPE3",50,3,6,1,1,1,2,26,1,3,0,0,0,42,16,9,4,5,80,5,2,2,1,0,198,0,20,3,7,7
"NFKBIZ",683,25,32,1,6,10,27,90,1,20,2,2,9,83,187,47,5,38,198,15,21,5,60,0,790,56,34,1,38,20
"ALCAM",96,1,14,0,0,0,11,4,0,0,0,0,0,37,4,3,1,2,13,0,0,0,10,4,129,8,5,0,0,0
"CBLB",27,12,3,1,2,2,2,24,0,5,1,0,1,37,49,26,3,12,122,1,7,3,17,1,67,3,17,1,15,7
"LINC00882",0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,9,0,0,0,1,0
"BBX",186,21,40,3,2,4,14,224,4,16,1,0,0,364,120,60,20,96,378,15,10,10,51,3,851,16,92,7,33,25
"CD47",354,19,41,2,3,5,14,216,0,16,3,3,5,316,153,70,15,117,365,12,9,6,196,6,1249,29,120,13,38,32
"IFT57",48,5,18,0,1,1,12,128,0,3,1,2,0,242,38,16,17,86,123,4,5,3,79,2,593,5,172,5,15,21
"HHLA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0
"MYH15",6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,0,0,1,0,105,0,1,0,0,0
"KIAA1524",18,0,3,0,0,0,0,5,0,0,0,0,0,4,3,0,2,2,3,0,0,0,18,1,37,0,31,4,1,2
"DZIP3",21,1,3,0,0,2,1,42,1,2,0,0,0,25,9,13,8,10,33,0,2,4,23,0,77,0,21,1,3,2
"RETNLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TRAT1",4,34,5,2,2,14,0,3,3,13,2,1,0,28,167,61,0,6,647,8,4,5,1,0,56,0,14,7,27,1
"PVRL3-AS1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVRL3",3,2,0,1,0,1,3,32,0,1,0,0,0,3,14,8,5,0,14,3,0,1,37,0,25,0,0,0,1,0
"CD96",5,24,1,4,1,3,0,7,1,16,3,5,0,16,135,79,1,4,215,7,7,15,6,0,47,0,5,0,10,2
"ZBED2",3,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,1,4,1,0,1,0,0,4,0,5,0,4,0
"PLCXD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"PHLDB2",1,0,0,1,1,0,2,18,0,0,0,0,0,3,1,1,7,0,1,0,0,0,3,0,6,0,0,0,1,3
"ABHD10",24,1,5,0,0,0,3,14,0,0,0,0,0,23,9,4,1,4,23,0,0,1,14,0,102,1,8,1,2,3
"TMPRSS7",2,0,0,0,1,1,0,2,0,0,0,0,0,3,3,0,0,1,7,0,0,0,2,0,17,0,1,0,0,0
